Channel Id,Channel Url,Channel Title
UCCrnCItH17W-64FDzjwOi5w,http://www.youtube.com/channel/UCCrnCItH17W-64FDzjwOi5w,The Science Elf
UCDoVSnkFnA6UhHouPpXWuUg,http://www.youtube.com/channel/UCDoVSnkFnA6UhHouPpXWuUg,Robert's Retro
UCDqov5THnmr0KX3f1FeK0Uw,http://www.youtube.com/channel/UCDqov5THnmr0KX3f1FeK0Uw,Predictable Designs
UCE4xstUnu0YmkG-W9_PyYrQ,http://www.youtube.com/channel/UCE4xstUnu0YmkG-W9_PyYrQ,Usagi Electric
UCE5dIscvDxrb7CD5uiJJOiw,http://www.youtube.com/channel/UCE5dIscvDxrb7CD5uiJJOiw,Adrian's Digital Basement
UCEE9G4bpqOYzB61yBS6-OiA,http://www.youtube.com/channel/UCEE9G4bpqOYzB61yBS6-OiA,Zach of All Trades
UCEP2DpEVWYiGYIn2xMbeZ_A,http://www.youtube.com/channel/UCEP2DpEVWYiGYIn2xMbeZ_A,DigiKey Product Discovery
UCEmljlPb7XMAaipL4MwTCLQ,http://www.youtube.com/channel/UCEmljlPb7XMAaipL4MwTCLQ,Gareth Halfacree
UCEp20NgOZHmgWdbQdHSxgjw,http://www.youtube.com/channel/UCEp20NgOZHmgWdbQdHSxgjw,This Does Not Compute
UCF-tqqmlcJT5FtoUqYgxblQ,http://www.youtube.com/channel/UCF-tqqmlcJT5FtoUqYgxblQ,"RDKL, Inc."
UCFWbb0QkTUCGK-M6C5iHTOA,http://www.youtube.com/channel/UCFWbb0QkTUCGK-M6C5iHTOA,David Fricke
UCFb-PkD2ZbkX8NRYjtrJoBQ,http://www.youtube.com/channel/UCFb-PkD2ZbkX8NRYjtrJoBQ,bateskecom
UCFcYlNjwcvRDHLEMDS__YHg,http://www.youtube.com/channel/UCFcYlNjwcvRDHLEMDS__YHg,Uni-Byte
UCFoAscZbrSdzsBXwvtEkLLw,http://www.youtube.com/channel/UCFoAscZbrSdzsBXwvtEkLLw,How Do You? DIY
UCG7yIWtVwcENg_ZS-nahg5g,http://www.youtube.com/channel/UCG7yIWtVwcENg_ZS-nahg5g,CNLohr
UCG9DaOF5SGutmI0TKjw-3Zw,http://www.youtube.com/channel/UCG9DaOF5SGutmI0TKjw-3Zw,Reboot Retro
UCGQuXdHRdXmy-jeRDdtetTg,http://www.youtube.com/channel/UCGQuXdHRdXmy-jeRDdtetTg,DrMattRegan
UCGq2pWA53ESmHXgU8A8ka9g,http://www.youtube.com/channel/UCGq2pWA53ESmHXgU8A8ka9g,Travel Tales & Trails
UCHBMHMyBGE3KVjhZDczF4rw,http://www.youtube.com/channel/UCHBMHMyBGE3KVjhZDczF4rw,Chandler Klüser
UCHTenUL0dQwHiOtFFsbkeFQ,http://www.youtube.com/channel/UCHTenUL0dQwHiOtFFsbkeFQ,Kayla Diane Capps
UCHb7nqRBKoJzcWGvZ3fqlyw,http://www.youtube.com/channel/UCHb7nqRBKoJzcWGvZ3fqlyw,Kari
UCHbx9IUW7eCeJsC4sBCTNBA,http://www.youtube.com/channel/UCHbx9IUW7eCeJsC4sBCTNBA,iFixit
UCIrF8n1pHjQHPN_pmVdJYpg,http://www.youtube.com/channel/UCIrF8n1pHjQHPN_pmVdJYpg,Fancy E Studio
UCJLm50AC_Z7gGnENw7vUrtA,http://www.youtube.com/channel/UCJLm50AC_Z7gGnENw7vUrtA,Time Rift Arcade
UCJXa3_WNNmIpewOtCHf3B0g,http://www.youtube.com/channel/UCJXa3_WNNmIpewOtCHf3B0g,LaurieWired
UCJd7AlM-PULP61-2NCovIuA,http://www.youtube.com/channel/UCJd7AlM-PULP61-2NCovIuA,Thomas Andrews - Amiga of Rochester
UCKcBTy75lZA5S0N_CkMkjQQ,http://www.youtube.com/channel/UCKcBTy75lZA5S0N_CkMkjQQ,filip kostovski
UCKhTar8KGR3DL8BdZc-PosQ,http://www.youtube.com/channel/UCKhTar8KGR3DL8BdZc-PosQ,Another Boring Topic
UCKnlyAJAfPfJ4nGh-2ocpAQ,http://www.youtube.com/channel/UCKnlyAJAfPfJ4nGh-2ocpAQ,101 Things
UCKvf78leP28MNyv075u_ymw,http://www.youtube.com/channel/UCKvf78leP28MNyv075u_ymw,Walter Miraglia
UCLLWpO2Ae3Vy3WhV1jPeZ4Q,http://www.youtube.com/channel/UCLLWpO2Ae3Vy3WhV1jPeZ4Q,hdydiy
UCLx053rWZxCiYWsBETgdKrQ,http://www.youtube.com/channel/UCLx053rWZxCiYWsBETgdKrQ,LGR
UCMX47a_aT7tujbsiD5iD70Q,http://www.youtube.com/channel/UCMX47a_aT7tujbsiD5iD70Q,Dr Jon EA Ltd
UCMf49SMPnhxdLormhEpfyfg,http://www.youtube.com/channel/UCMf49SMPnhxdLormhEpfyfg,Stephen Hawes
UCMiC9bSMux7i2Ds6sIqDaFg,http://www.youtube.com/channel/UCMiC9bSMux7i2Ds6sIqDaFg,SDG Electronics
UCMiyV_Ib77XLpzHPQH_q0qQ,http://www.youtube.com/channel/UCMiyV_Ib77XLpzHPQH_q0qQ,Veronica Explains
UCNX2L8_enbRUAb8zKaR2KzQ,http://www.youtube.com/channel/UCNX2L8_enbRUAb8zKaR2KzQ,Foenix Retro Systems
UCN_u47_wJuhh249H9E8sjtw,http://www.youtube.com/channel/UCN_u47_wJuhh249H9E8sjtw,Retro Hack Shack
UCNzszbnvQeFzObW0ghk0Ckw,http://www.youtube.com/channel/UCNzszbnvQeFzObW0ghk0Ckw,Dave's Garage
UCORX3Cl7ByidjEgzSCgv9Yw,http://www.youtube.com/channel/UCORX3Cl7ByidjEgzSCgv9Yw,Anastasi In Tech
UCOfam1glqK75M8tQKc5R2wA,http://www.youtube.com/channel/UCOfam1glqK75M8tQKc5R2wA,Greg Ewing
UCP9JGezCRzYpZXunKXl1wWg,http://www.youtube.com/channel/UCP9JGezCRzYpZXunKXl1wWg,todbot
UCQ6fPy9wr7qnMxAbFOGBaLw,http://www.youtube.com/channel/UCQ6fPy9wr7qnMxAbFOGBaLw,Computer Clan
UCQ9qxInZTJznj3O18qymalQ,http://www.youtube.com/channel/UCQ9qxInZTJznj3O18qymalQ,Christopher's Factory
UCQZkWBdIi24VkVjgd5znSkQ,http://www.youtube.com/channel/UCQZkWBdIi24VkVjgd5znSkQ,MOSFET
UCQfz5HHag6Kki5PS8tixLJA,http://www.youtube.com/channel/UCQfz5HHag6Kki5PS8tixLJA,Retro Starship
UCQiw8_NHQqAoXwpq_mv4zqQ,http://www.youtube.com/channel/UCQiw8_NHQqAoXwpq_mv4zqQ,James (DrMiaow)
UCR-DXc1voovS8nhAvccRZhg,http://www.youtube.com/channel/UCR-DXc1voovS8nhAvccRZhg,Jeff Geerling
UCRG_N2uO405WO4P3Ruef9NA,http://www.youtube.com/channel/UCRG_N2uO405WO4P3Ruef9NA,The Friday Checkout
UCRRtpAUcuidH_9_vT_hBkFg,http://www.youtube.com/channel/UCRRtpAUcuidH_9_vT_hBkFg,Life with David
UCRjSO-juFtngAeJGJRMdIZw,http://www.youtube.com/channel/UCRjSO-juFtngAeJGJRMdIZw,Gary Explains
UCRrLVS4hbUrs6iSLxlnjlhQ,http://www.youtube.com/channel/UCRrLVS4hbUrs6iSLxlnjlhQ,Roy Edmund Antaw
UCS-WzPVpAAli-1IfEG2lN8A,http://www.youtube.com/channel/UCS-WzPVpAAli-1IfEG2lN8A,Michael MJD
UCS6wGHldCdaA1mtfXWHJ8yA,http://www.youtube.com/channel/UCS6wGHldCdaA1mtfXWHJ8yA,iketsj
UCSMHo6lJQKZ6z8O3w00Lwnw,http://www.youtube.com/channel/UCSMHo6lJQKZ6z8O3w00Lwnw,spidermaf
UCSju5G2aFaWMqn-_0YBtq5A,http://www.youtube.com/channel/UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths
UCSksodwjNeOQ3Oywr1G4Nag,http://www.youtube.com/channel/UCSksodwjNeOQ3Oywr1G4Nag,Engineezy
UCTLDbr7fXm6Rh17OFIAEeDg,http://www.youtube.com/channel/UCTLDbr7fXm6Rh17OFIAEeDg,Science Fiction with Damien Walter
UCUQo7nzH1sXVpzL92VesANw,http://www.youtube.com/channel/UCUQo7nzH1sXVpzL92VesANw,DIY Perks
UCUW49KGPezggFi0PGyDvcvg,http://www.youtube.com/channel/UCUW49KGPezggFi0PGyDvcvg,Zack Freedman
UCUxIu91gGsK9Q0tTcQM8iNw,http://www.youtube.com/channel/UCUxIu91gGsK9Q0tTcQM8iNw,abe's projects
UCVLMqYurvS0S5qZE9C9JgKQ,http://www.youtube.com/channel/UCVLMqYurvS0S5qZE9C9JgKQ,Zero64
UCVcOsUBmH4hzVSnmJA_i5SA,http://www.youtube.com/channel/UCVcOsUBmH4hzVSnmJA_i5SA,EDISON SCIENCE CORNER
UCVtMjZOOSio79r760z0-8Aw,http://www.youtube.com/channel/UCVtMjZOOSio79r760z0-8Aw,Giovanni V
UCVyWWGuddYI6n7M9cKHA2EA,http://www.youtube.com/channel/UCVyWWGuddYI6n7M9cKHA2EA,Andonstar
UCW-HHEyt67RhZ6q21n4p2zQ,http://www.youtube.com/channel/UCW-HHEyt67RhZ6q21n4p2zQ,Mac84
UCW2VSkITcl62AJD5p9UxEAg,http://www.youtube.com/channel/UCW2VSkITcl62AJD5p9UxEAg,wrongdog reckons
UCW8-pJyPdYAdubad1veFB3A,http://www.youtube.com/channel/UCW8-pJyPdYAdubad1veFB3A,Wesley Treat
UCW9CXYyHdzI0w8icz4gHi3g,http://www.youtube.com/channel/UCW9CXYyHdzI0w8icz4gHi3g,Cloud Computing Insider
UCWihlGXWuyJbjP5vjzD03Rw,http://www.youtube.com/channel/UCWihlGXWuyJbjP5vjzD03Rw,The Retro Desk
UCXYQcMpUBT3aaQKfmAVJNow,http://www.youtube.com/channel/UCXYQcMpUBT3aaQKfmAVJNow,Slu4
